test_no,computation_time_ms,memory_kb,key_size_bytes,public_data_bytes,energy_estimate_mj,success
39,0.05639999289996922,0.5,256,16640,0.05639999289996922,True
40,0.05549998604692519,0.5,256,16640,0.05549998604692519,True
41,0.10820000898092985,0.5,256,16640,0.10820000898092985,True
42,0.11980000999756157,0.5,256,16640,0.11980000999756157,True
43,0.09429999045096338,0.5,256,16640,0.09429999045096338,True
44,0.15279999934136868,0.5,256,16640,0.15279999934136868,True
45,0.06469999789260328,0.5,256,16640,0.06469999789260328,True
46,0.25919999461621046,0.5,256,16640,0.25919999461621046,True
47,0.1686000032350421,0.5,256,16640,0.1686000032350421,True
48,0.09950000094249845,0.5,256,16640,0.09950000094249845,True
49,0.09410001803189516,0.5,256,16640,0.09410001803189516,True
50,0.11309998808428645,0.5,256,16640,0.11309998808428645,True
51,0.09689998114481568,0.5,256,16640,0.09689998114481568,True
52,0.12099999003112316,0.5,256,16640,0.12099999003112316,True
53,0.1033000007737428,0.5,256,16640,0.1033000007737428,True
54,0.09359998512081802,0.5,256,16640,0.09359998512081802,True
55,0.06829999620094895,0.5,256,16640,0.06829999620094895,True
56,0.05740000051446259,0.5,256,16640,0.05740000051446259,True
57,0.055800017435103655,0.5,256,16640,0.055800017435103655,True
58,0.3293000045232475,0.5,256,16640,0.3293000045232475,True
59,0.06769999163225293,0.5,256,16640,0.06769999163225293,True
60,0.05879998207092285,0.5,256,16640,0.05879998207092285,True
61,0.12740000966005027,0.5,256,16640,0.12740000966005027,True
62,0.059600017266348004,0.5,256,16640,0.059600017266348004,True
63,0.05440000677481294,0.5,256,16640,0.05440000677481294,True
64,0.053800002206116915,0.5,256,16640,0.053800002206116915,True
65,0.054500007536262274,0.5,256,16640,0.054500007536262274,True
66,0.05470000905916095,0.5,256,16640,0.05470000905916095,True
67,0.05329999839887023,0.5,256,16640,0.05329999839887023,True
68,0.053800002206116915,0.5,256,16640,0.053800002206116915,True
69,0.05339999916031957,0.5,256,16640,0.05339999916031957,True
70,0.053499999921768904,0.5,256,16640,0.053499999921768904,True
71,0.05339999916031957,0.5,256,16640,0.05339999916031957,True
72,0.05370000144466758,0.5,256,16640,0.05370000144466758,True
73,0.05439997767098248,0.5,256,16640,0.05439997767098248,True
74,0.054500007536262274,0.5,256,16640,0.054500007536262274,True
75,0.06479999865405262,0.5,256,16640,0.06479999865405262,True
76,0.0577000027988106,0.5,256,16640,0.0577000027988106,True
77,0.055800017435103655,4.0,256,16640,0.055800017435103655,True
78,0.42749999556690454,0.5,256,16640,0.42749999556690454,True
79,0.13800000306218863,4.0,256,16640,0.13800000306218863,True
80,0.13440000475384295,0.5,256,16640,0.13440000475384295,True
81,0.1655000087339431,0.5,256,16640,0.1655000087339431,True
82,0.09769998723641038,0.5,256,16640,0.09769998723641038,True
83,0.36100001307204366,0.5,256,16640,0.36100001307204366,True
84,0.10919998749159276,0.5,256,16640,0.10919998749159276,True
85,0.21180001203902066,0.5,256,16640,0.21180001203902066,True
86,0.066100008552894,0.5,256,16640,0.066100008552894,True
87,0.057199998991563916,0.5,256,16640,0.057199998991563916,True
88,0.05599998985417187,0.5,256,16640,0.05599998985417187,True
89,0.05670002428814769,0.5,256,16640,0.05670002428814769,True
90,0.055500015150755644,0.5,256,16640,0.055500015150755644,True
91,0.05520001286640763,0.5,256,16640,0.05520001286640763,True
92,0.056199991377070546,0.5,256,16640,0.056199991377070546,True
93,0.05329999839887023,0.5,256,16640,0.05329999839887023,True
94,0.1365999924018979,0.5,256,16640,0.1365999924018979,True
95,0.07050001295283437,0.5,256,16640,0.07050001295283437,True
96,0.05830000736750662,0.5,256,16640,0.05830000736750662,True
97,0.056199991377070546,0.5,256,16640,0.056199991377070546,True
98,0.06740001845173538,0.5,256,16640,0.06740001845173538,True
99,0.0585000088904053,0.5,256,16640,0.0585000088904053,True
100,0.11990001075901091,0.5,256,16640,0.11990001075901091,True
